player,runs,balls_faced,fours,sixes,dismissals,matches,strike_rate,boundary_pct,avg,runs_conceded,legal_balls,wickets,dot_balls,overs,economy,dot_pct,batting_impact,bowling_impact,pii,role,fantasy_points
A Badoni,161.0,139.0,11.0,7.0,9.0,11.0,115.83,12.95,17.89,12.0,11.0,2.0,4.0,1.8,6.55,36.36,118.84899999999999,14.178870229007634,76.98,Bowler,260.0
A Manohar,108.0,79.0,14.0,3.0,6.0,7.0,136.71,21.52,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.41300000000001,40.0,75.05,All-Rounder,148.0
A Nortje,1.0,7.0,0.0,0.0,0.0,1.0,14.29,0.0,1.0,219.0,132.0,9.0,55.0,22.0,9.95,41.67,4.787,15.954100502512565,9.25,Bowler,253.5
A Tomar,4.0,8.0,1.0,0.0,1.0,1.0,50.0,12.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,40.0,26.32,Bowler,3.0
AD Russell,335.0,200.0,18.0,32.0,9.0,12.0,167.5,25.0,37.22,282.0,168.0,21.0,64.0,28.0,10.07,38.1,227.75,19.99219463753724,144.65,All-Rounder,1052.0
AF Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,9.0,2.5,7.6,60.0,0.0,17.263157894736842,6.91,Bowler,4.5
AJ Finch,86.0,70.0,10.0,3.0,6.0,5.0,122.86,18.57,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.458,40.0,65.47,Bowler,98.0
AJ Tye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,63.0,3.0,27.0,10.5,10.76,42.86,0.0,13.48947211895911,5.4,Batsman,88.5
AK Markram,381.0,277.0,25.0,19.0,8.0,12.0,137.55,15.88,47.62,64.0,36.0,1.0,8.0,6.0,10.67,22.22,240.565,8.592828491096533,147.78,Batsman,561.0
AM Rahane,133.0,131.0,14.0,4.0,7.0,7.0,101.53,13.74,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.559,40.0,76.34,Bowler,173.0
AR Patel,182.0,122.0,12.0,10.0,3.0,10.0,149.18,18.03,60.67,323.0,257.0,6.0,89.0,42.8,7.54,34.63,140.154,14.63103978779841,89.94,All-Rounder,442.5
AS Joseph,5.0,7.0,0.0,0.0,1.0,3.0,71.43,0.0,5.0,269.0,175.0,8.0,76.0,29.2,9.22,43.43,23.929000000000002,16.224394793926248,20.85,Bowler,241.0
AS Roy,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55.0,42.0,1.0,11.0,7.0,7.86,26.19,0.0,10.727058524173028,4.29,Bowler,28.5
AT Rayudu,274.0,230.0,25.0,15.0,10.0,11.0,119.13,17.39,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.739,40.0,124.44,All-Rounder,381.0
Abdul Samad,4.0,7.0,0.0,0.0,2.0,2.0,57.14,0.0,2.0,8.0,6.0,0.0,1.0,1.0,8.0,16.67,19.142,8.334,14.82,Batsman,0.5
Abhishek Sharma,426.0,329.0,47.0,13.0,15.0,14.0,129.48,18.24,28.4,39.0,23.0,0.0,4.0,3.8,10.17,17.39,263.844,7.411136676499509,161.27,Batsman,599.0
Akash Deep,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,206.0,112.0,6.0,46.0,18.7,11.04,41.07,0.0,14.237188405797102,5.69,Bowler,171.0
Aman Hakim Khan,5.0,3.0,1.0,0.0,1.0,1.0,166.67,33.33,5.0,13.0,6.0,0.0,1.0,1.0,13.0,16.67,52.701,6.410923076923078,34.18,Batsman,4.5
Anmolpreet Singh,13.0,13.0,1.0,0.0,2.0,2.0,100.0,7.69,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,40.0,38.02,Bowler,10.0
Anuj Rawat,129.0,123.0,10.0,7.0,7.0,8.0,104.88,13.82,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.364,40.0,75.62,Bowler,171.0
Arshdeep Singh,21.0,30.0,3.0,0.0,3.0,6.0,70.0,10.0,7.0,402.0,292.0,12.0,125.0,48.7,8.26,42.81,32.1,18.20461501210654,26.54,Bowler,380.5
Avesh Khan,22.0,13.0,0.0,3.0,1.0,4.0,169.23,23.08,22.0,423.0,282.0,19.0,139.0,47.0,9.0,49.29,62.369,21.902444444444445,46.18,All-Rounder,570.5
B Indrajith,21.0,31.0,2.0,0.0,3.0,3.0,67.74,6.45,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.221999999999998,40.0,34.73,Bowler,17.0
B Kumar,24.0,28.0,3.0,0.0,2.0,6.0,85.71,10.71,12.0,394.0,303.0,13.0,156.0,50.5,7.8,51.49,38.312999999999995,20.62620512820513,31.24,Bowler,426.0
B Sai Sudharsan,145.0,118.0,14.0,3.0,4.0,5.0,122.88,14.41,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.76400000000001,40.0,83.66,Bowler,189.0
Basil Thampi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,93.0,5.0,47.0,15.5,10.19,50.54,0.0,16.03341707556428,6.41,Batsman,148.5
C Sakariya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,63.0,3.0,26.0,10.5,8.29,41.27,0.0,14.279090470446324,5.71,Batsman,88.0
CJ Jordan,11.0,9.0,0.0,0.0,1.0,2.0,122.22,0.0,11.0,136.0,76.0,3.0,25.0,12.7,10.74,32.89,42.166,11.5023947858473,29.9,Batsman,96.5
CV Varun,12.0,18.0,2.0,0.0,0.0,3.0,66.67,11.11,12.0,338.0,232.0,6.0,97.0,38.7,8.74,41.81,26.401,15.338659038901602,21.98,Bowler,212.5
D Brevis,161.0,116.0,14.0,11.0,7.0,7.0,138.79,21.55,23.0,8.0,3.0,1.0,1.0,0.5,16.0,33.33,127.137,9.566,80.11,Batsman,248.5
D Padikkal,376.0,317.0,41.0,14.0,17.0,17.0,118.61,17.35,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.583,40.0,156.75,All-Rounder,515.0
D Pretorius,44.0,28.0,3.0,3.0,4.0,5.0,157.14,21.43,11.0,213.0,123.0,7.0,49.0,20.5,10.39,39.84,70.342,14.61785563041386,48.05,All-Rounder,244.5
DA Miller,481.0,348.0,32.0,23.0,9.0,16.0,138.22,15.8,53.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.966,40.0,191.78,All-Rounder,677.0
DA Warner,432.0,301.0,52.0,15.0,9.0,12.0,143.52,22.26,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.45599999999996,40.0,179.47,All-Rounder,624.0
DG Nalkande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,31.0,2.0,10.0,5.2,11.42,32.26,0.0,10.75462697022767,4.3,Batsman,55.0
DJ Bravo,23.0,26.0,1.0,1.0,2.0,6.0,88.46,7.69,11.5,303.0,202.0,17.0,92.0,33.7,9.0,45.54,38.437999999999995,20.352444444444444,31.2,Bowler,493.0
DJ Hooda,451.0,340.0,36.0,18.0,14.0,14.0,132.65,15.88,32.21,43.0,24.0,1.0,5.0,4.0,10.75,20.83,276.095,8.286930232558138,168.97,Batsman,658.5
DJ Mitchell,33.0,46.0,1.0,0.0,2.0,2.0,71.74,2.17,16.5,27.0,12.0,0.0,2.0,2.0,13.5,16.67,38.222,6.296962962962963,25.45,Batsman,31.0
DJ Willey,18.0,32.0,3.0,0.0,3.0,2.0,56.25,9.38,6.0,75.0,63.0,1.0,27.0,10.5,7.14,42.86,26.475,14.574240896358544,21.71,Bowler,53.5
DP Conway,252.0,176.0,23.0,12.0,6.0,7.0,143.18,19.89,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.954,40.0,121.57,All-Rounder,359.0
DR Sams,38.0,40.0,1.0,3.0,8.0,10.0,95.0,10.0,4.75,375.0,250.0,14.0,128.0,41.7,9.0,51.2,48.3,20.284444444444446,37.09,Bowler,443.0
E Lewis,73.0,60.0,8.0,3.0,3.0,5.0,121.67,18.33,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.20100000000001,40.0,61.12,Bowler,89.0
